PROJECT_TYPE,APN,NAMEADDR,Alias,BESTSTAT,BESTDATE,Entitlement,PLN_CASENO,BP_APPLNO,PROPUSE,PLN_DESC,BP_DESC,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FILEDATE,PLANNER,APPLICANT,CONTACT,CONTACTPH,SOURCE,Supe_District,PLAN_AREA,PLAN_DISTRICT,NEIGHBORHOOD,ZONING_SIM,ZONING_DISTRICT,HEIGHT_DISTRICT,Location
Mixres,APN 3731003,226 06TH ST,,CONSTRUCTION,2014-10-20T00:00:00,-1,2009.0089,200806164548,APARTMENTS,Vertical addition of 4th floor to existing hotel.,"VERTICAL ADDITION AND REVONATION OF A HOTEL. MECH, ELEC,PLUMBING, FIRE SPRINKLER UNDER SEPARATE PERMIT",76,37,0,0,16425,5445,0,0,0,0,0,0,0,0,0,0,16425,5445,2011-10-06T00:00:00,PLAVALLE,,,,PERMIT TRACKING,D6,East SoMa (EN); South of Market,South of Market,South of Market,NCT,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,65-X,"{'latitude': '37.7791590996', 'longitude': '-122.406826478', 'needs_recoding': False}"
Mixres,APN 1450008,5400 GEARY BL,,BP ISSUED,2015-06-11T00:00:00,-1,2004.0482,200806275522,,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be con,"ERECT  A 4 STORIES, 39 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE.)",37,37,4,4,2500,-10748,0,0,0,0,0,0,0,0,2500,-10748,0,0,2004-06-01T00:00:00,MWOODS,Patrick Luy,David Silverman,567-9000,CASE TRACKING,D1,,Richmond,Inner Richmond,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,"{'latitude': '37.7811065559', 'longitude': '-122.47759248', 'needs_recoding': False}"
Mixres,APN 4059001C,2230 3RD STREET,,PL FILED,2014-03-06T00:00:00,0,2013.0531,,,The proposed project would result in the demolition of an existing commercial warehouse building (Tire Dealer) and construct a new 7-story mixed-use commercial and residential building with ground floor commercial/residential flex space and residential p,,37,37,0,0,2399,-3201,0,0,0,0,0,0,0,0,2399,-3201,0,0,2014-03-06T00:00:00,JBANALES,Marc Dimalanta,Marc Dimalanta,415-252-0888,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7612470299', 'longitude': '-122.388940698', 'needs_recoding': False}"
Resident,APN 3510058,915 - 935 Minna Street,,PL FILED,2015-03-25T00:00:00,0,2015-002600PRJ,,,"Proposed new construction of a residential building (4 stories above ground).

The PPA was submitted on 3/2/15 and the 90 day deadline is 5/31/2015.",,37,37,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-03-18T00:00:00,DVU,Equity Community Builders,,4156516200,CASE TRACKING,D6,Western SoMa (EN); South of Market,Downtown,South of Market,RED-MX,RESIDENTIAL ENCLAVE-MIXED,45-X,"{'latitude': '37.7742867326', 'longitude': '-122.415799574', 'needs_recoding': False}"
Mixres,APN 0837003,1 FRANKLIN ST,,CONSTRUCTION,2015-07-24T00:00:00,-1,2010.0102,200912032516,,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,35,35,5,5,2384,2384,0,0,0,0,0,0,0,0,2384,2384,0,0,2010-02-19T00:00:00,TFRYE,John Ramsbacher,Warner Schmalz,415-252-7063,CASE TRACKING,D5,Market and Octavia,Buena Vista,Downtown/Civic Center,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,85-X,"{'latitude': '37.7744289177', 'longitude': '-122.421110191', 'needs_recoding': False}"
Mixres,APN 0619012,1860 VAN NESS AV,,CONSTRUCTION,2015-07-27T00:00:00,-1,2004.089,200602215057,APARTMENTS,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two s","TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",35,35,0,0,1625,1625,0,0,0,0,0,0,0,0,1625,1625,0,0,2005-12-20T00:00:00,JKUGLER,Tuija Catalano,Tuija Catalano,567-9000,CASE TRACKING,D3,Van Ness Corridor,Northeast,Nob Hill,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-D,"{'latitude': '37.7929112562', 'longitude': '-122.422413833', 'needs_recoding': False}"
Resident,APN 4591C095,401 INNES AV,,CONSTRUCTION,2015-07-30T00:00:00,-1,,200912223671,APARTMENTS,,"TO ERECT 5 STORY, 35 RESIDENTIAL UNITS WITH PARKING. (NO BASEMENT)",35,35,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12-22T00:00:00,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,"{'latitude': '37.7281347241', 'longitude': '-122.369442149', 'needs_recoding': False}"
Mixres,APN 3644021,1278 - 1298 VALENCIA ST,,BP FILED,2015-02-19T00:00:00,0,2013.1404,201502198775,APARTMENTS,"The proposed project would replace existing gas station with a six story mixed use residential building.  Provide retail facilities on the ground floor and 35 residential units on the remaining 5 stories above. 33,939sf residential units & 3,737sf retail","ERECT 6-STORY, 35 DWELLING UNITS, TYPE III, RESIDENTIAL & RETAIL BUILDING.",35,35,0,0,3737,-5889,0,0,0,0,0,0,0,-9626,3737,3737,0,0,2013-09-30T00:00:00,DVU,,,,CASE TRACKING,D8,Mission (EN),Mission,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,"{'latitude': '37.7523096416', 'longitude': '-122.420977366', 'needs_recoding': False}"
Mixres,APN 0337014A,469 EDDY ST,,PL FILED,2014-08-28T00:00:00,0,2014.0562,,,"Save the existing facade and build a new 8-story building with 29 residential units, 2,600 sf of ground floor retail, and 16 below-grade vehicle parking spaces.",,34,34,0,0,2600,-18085,0,0,0,0,0,0,0,-20685,2600,2600,0,0,2014-08-28T00:00:00,SNGAN,Barbara Borgfeldt,Nick Cranmer,415-501-0931,CASE TRACKING,D6,,Downtown,Downtown/Civic Center,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T,"{'latitude': '37.783303868', 'longitude': '-122.41531872', 'needs_recoding': False}"
Resident,APN 4591C099,50 JERROLD AV,,CONSTRUCTION,2015-07-22T00:00:00,-1,,200912223673,APARTMENTS,,"TO ERECT 5 STORY, 34 RESIDENTIAL UNITS WITH PARKING. NO BASEMENT.",34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-12-22T00:00:00,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,"{'latitude': '37.7276515675', 'longitude': '-122.369239611', 'needs_recoding': False}"
Resident,APN 2636025,SAN FRANCISCO OVERLOOK,OVERLOOK,PL APPROVED,2014-03-07T00:00:00,-1,2004.0093,,,"The proposed project would involve the construction of 34 dwelling units and 40 off-street parking spaces in four new buildings on an undeveloped site.  The residential buildings would four stories in height, approximately 20 feet in height from grade.",,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,CASE TRACKING,D7,,Inner Sunset,Inner Sunset,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,"{'latitude': '37.7589409884', 'longitude': '-122.460781674', 'needs_recoding': False}"
Resident,APN 0570011,1650 BROADWAY *,,CONSTRUCTION,2015-07-29T00:00:00,-1,2008.0862,201203055396,APARTMENTS,,"ERECT 7 STORIES, 2 BASEMENTS 34 DWELLING UNITS, TYPE 1-B BUILDING ON A VACANT LOT.",34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GCABRERO,,,,PERMIT TRACKING,D2,,Marina,Pacific Heights,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",80-A,"{'latitude': '37.7959125178', 'longitude': '-122.424470955', 'needs_recoding': False}"
Resident,APN 5992A060,495 CAMBRIDGE ST,,PL FILED,2014-05-15T00:00:00,0,2013.1711,,,"The project will be a PUD under Section 304.  The existing vacant Fellowship Academy Day Care Facility will be demolished, and the 200 block of Yale Street will be extended into the site.  The lot will be subdivided into 34 new parcels for single family",,34,34,0,0,0,-23000,0,-23000,0,0,0,0,0,0,0,0,0,0,2014-05-15T00:00:00,CTOWNES,Peter Naughton,Bruce Baumann,415 551-7884,CASE TRACKING,D9,,South Central,Excelsior,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,"{'latitude': '37.7257185332', 'longitude': '-122.417319637', 'needs_recoding': False}"
Mixres,APN 0166003,240 PACIFIC AV,,PL FILED,2014-08-27T00:00:00,0,2013.1757,,,"The project site consists of three adjacent lots fronting both Battery Street and Pacific Avenue, which total 11,680 sf. The site is currently improved with surface parking lots and a single-story commercial sturcture. The project would demolish the exis",,31,31,0,0,2018,625,0,0,0,0,0,0,0,0,2018,625,0,0,2014-08-27T00:00:00,TCHANG,Andrew Junius,Andrew Junius,567-9000,CASE TRACKING,D3,Northeast Waterfront,Northeast,Financial District,C-2,COMMUNITY BUSINESS,84-E,"{'latitude': '37.7978697261', 'longitude': '-122.400451523', 'needs_recoding': False}"
Resident,APN 3725068,475 MINNA ST,,PL FILED,2015-04-02T00:00:00,0,2014.1442,,,Construct a 9-story residential apartment building with 25% open space in rear yard.,,30,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-09-17T00:00:00,TCHANG,Stanton Architecture,,4158659600,CASE TRACKING,D6,Central SoMa; Downtown,Downtown,South of Market,C-3-S,DOWNTOWN SUPPORT,120-F,"{'latitude': '37.7809225491', 'longitude': '-122.407391964', 'needs_recoding': False}"
Resident,APN 0807010,580 HAYES ST,,BP ISSUED,2015-03-31T00:00:00,-1,,201312093685,,,ERECT 4-STORY TYPE V NEW BUILDING.,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MLI,Ali Kia Shabahangi,Steven Vettel,415 268 6171,CASE TRACKING,D5,Market and Octavia,Western Addition,Western Addition,NCT,HAYES NCT,55-X,"{'latitude': '37.7767566777', 'longitude': '-122.426029255', 'needs_recoding': False}"
Resident,APN 4224015,1004 MISSISSIPPI ST,,BP APPROVED,2009-01-16T00:00:00,-1,2008.0705,200705010141,,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.","ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-11-15T00:00:00,AHOLLIST,John Conomos,Bruce Baumann,415-551-7884,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,"{'latitude': '37.753619463', 'longitude': '-122.394041823', 'needs_recoding': False}"
Mixres,APN 0836011,22 FRANKLIN ST,,PL FILED,2014-01-02T00:00:00,0,2013.1005,201504093240,APARTMENTS,"Demolish the  existing auto body shop building on the lot 012 and construct a 8-story, 85-foot tall mixed use building. Construct a new building would include 24 dwelling units and 2,120 gross square feet of retail space along Franklin.","TO ERECT 8 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL & COMMERCIAL BUILDING.",28,28,0,0,4323,4323,0,0,0,0,0,0,0,0,4323,4323,0,0,2014-01-02T00:00:00,CGROB,Aidin Massoudi,Aidin Massoudi,415-922-0200,CASE TRACKING,D5,Market and Octavia; Downtown,Buena Vista,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,85-X,"{'latitude': '37.7747267997', 'longitude': '-122.420603684', 'needs_recoding': False}"
Resident,APN 7148040,ONE CAPITOL AV,,CONSTRUCTION,2015-07-22T00:00:00,-1,2009.0112,201211284953,,"Vacant former ROW parcel (.98 ac) for 28 SFH with drive aisle yard, 41,320-gsf, 44 parking.",Multiple Permits on formerly vacant right of way next to 280,28,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-01-28T00:00:00,JBATTIS,Deny Sepaher,Steven Vettel,415 954 4902,CASE TRACKING,D11,,Ingleside,Ocean View,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,"{'latitude': '37.7109310013', 'longitude': '-122.46024013', 'needs_recoding': False}"
Resident,APN 0620006,1601 LARKIN ST,,PL APPROVED,2013-11-15T00:00:00,-1,2013.089,,,27 Unit residential building and parking for 32 cars parking. Demolition of existing vacant former church & construction of a 27-unit residential building & prking for 32 cars. This application is filed as part of a settlement of pending litigation betwe,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-03T00:00:00,JKUGLER,Bruce Baumann,Bruce Baumann,415-397-7416,CASE TRACKING,D3,,Northeast,Nob Hill,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",65-A,"{'latitude': '37.7927787317', 'longitude': '-122.419763491', 'needs_recoding': False}"
Mixres,APN 0334028,519 ELLIS ST,,PL FILED,2015-06-25T00:00:00,0,2014.0506,,,Proposed new construction of 8-story building with 28 residential condo units above first floor and two commercial units on first floor.,,28,28,0,0,2541,5082,0,2541,0,0,0,0,0,0,2541,2541,0,0,2014-04-03T00:00:00,TCHANG,,,,CASE TRACKING,D6,,Downtown,Downtown/Civic Center,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T,"{'latitude': '37.784298204', 'longitude': '-122.415003798', 'needs_recoding': False}"
Resident,APN 3502108,198 VALENCIA ST,,BP FILED,2014-08-05T00:00:00,0,,201408053094,APARTMENTS,,"TO ERECT 5 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL CONDO AND COMMERCIAL BUILDING.
** MAHER: COMPL",28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D8,Market and Octavia,Mission,Mission,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,50-X,"{'latitude': '37.7700962844', 'longitude': '-122.422686285', 'needs_recoding': False}"
Mixres,APN 3555018,3140 16TH ST,,PL FILED,2015-05-11T00:00:00,0,2014.1105,,,The proposed removal of an exisiting 1926 concrete automotive garage to be replaced with a 5-story mixed-use building (4 levels of housing over 1 level retail).,,28,28,0,0,6715,6715,0,0,0,0,0,0,0,0,6715,6715,0,0,2014-07-10T00:00:00,SMENDRIN,,,,CASE TRACKING,D8,Mission (EN),Mission,Mission,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,"{'latitude': '37.7651062252', 'longitude': '-122.422891127', 'needs_recoding': False}"
Resident,APN 3518020,241 10TH ST,,BP FILED,2015-06-15T00:00:00,0,2014.0666,201506159021,201506159021,"The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  T",ERECT 5 STORIES OF 28 DWELLING UNITS. MIX USE BUILDING.,28,28,0,0,18130,-8376,0,0,0,0,0,0,0,0,1813,-8376,0,0,2014-05-01T00:00:00,JBANALES,,,,CASE TRACKING,D6,Western SoMa (EN); South of Market,South of Market,South of Market,RCD,REGIONAL COMMERCIAL,55-X,"{'latitude': '37.7736498631', 'longitude': '-122.413437181', 'needs_recoding': False}"
Mixres,APN 3575070,600 SOUTH VAN NESS AV,,PL APPROVED,2014-02-13T00:00:00,-1,2013.0614,201401136108,,The proposed project would construct a 5-story mixed use building with residential above retail and private garage.  The project would involve demolition of existing an single story auto motive repair structure. The mixed-use building would contain 27 re,,27,27,0,0,2940,1190,0,0,0,0,0,0,0,-1750,2940,2940,0,0,2013-09-10T00:00:00,BBENDIX,Michael Leavitt,Michael Leavitt,415-674-9100,CASE TRACKING,D9,Mission (EN),Mission,Mission,UMU,URBAN MIXED USE,58-X,"{'latitude': '37.7633181457', 'longitude': '-122.417616929', 'needs_recoding': False}"
Mixres,APN 0281003,832 SUTTER ST,,CONSTRUCTION,2015-07-01T00:00:00,-1,2007.0392,201406138386,,The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.,,27,27,0,0,1176,1176,0,0,0,0,0,0,0,0,1176,1176,0,0,2007-05-15T00:00:00,JBATTIS,Amy Tsai,Amy Tsai,415-567-9000,CASE TRACKING,D3,,Downtown,Downtown/Civic Center,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-A,"{'latitude': '37.7888008544', 'longitude': '-122.414203852', 'needs_recoding': False}"
Mixres,APN 0334008,430 EDDY ST,,PL FILED,2015-06-25T00:00:00,0,2014.04,,,"Proposed new construction of eight story over basement building with 27 residential condo units, and two commercial unit at street level.",,27,27,0,0,797,1594,0,797,0,0,0,0,0,0,797,797,0,0,2014-03-14T00:00:00,CESPIRIT,,,,CASE TRACKING,D6,,Downtown,Downtown/Civic Center,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",80-T,"{'latitude': '37.7839367135', 'longitude': '-122.41483388', 'needs_recoding': False}"
Mixres,APN 3542008,2140 - 2144 Market Street,,PL FILED,2015-06-23T00:00:00,0,2014-002035PRJ,,,Demolition of an existing one (1) story commercial building at 2140 Market Street including an existing commercial patio.  New construction of a five (5) story residential apartment building with partial basement and commercial space on the ground floor.,,27,27,0,0,1150,-1225,0,0,0,0,0,0,0,0,1150,-1225,0,0,2014-11-24T00:00:00,DWASHING,Forum Design,,4152527063,CASE TRACKING,D8,Market and Octavia,Buena Vista,Castro/Upper Market,NCT,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,50-X,"{'latitude': '37.7671449613', 'longitude': '-122.42993484', 'needs_recoding': False}"
Mixres,APN 0670024,1433 BUSH ST,,PL APPROVED,2014-07-31T00:00:00,-1,2009.1074,,,"Demolition of a one-story building and construction of mixed-use building with 26 residential units, 2,100 square-feet of retail space, and 33 off-street parking spaces. The proposed buidling would be 112-feet in height and 63,130 square-feet, with 15,75",,26,26,0,0,2180,-4420,0,0,0,0,0,0,0,0,2180,-4420,0,0,2009-11-17T00:00:00,SPERDUE,Antony Joma,Antony Joma,408-838-0087,CASE TRACKING,D3,Van Ness Corridor,Downtown,Downtown/Civic Center,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",130-V,"{'latitude': '37.7883632548', 'longitude': '-122.420841305', 'needs_recoding': False}"
Mixres,APN 3751033,768 HARRISON ST,,PL APPROVED,2014-03-21T00:00:00,-1,2013.1872,,,The proposed project includes the demolition of an existing 2-story building and the construction of a new 9-story building with retail on the 1st floor and the mezzanine and residential uses above. The project would have 26 residential units and no off-,,26,26,0,0,1991,1991,0,0,0,0,0,0,0,0,1991,1991,0,0,2014-08-29T00:00:00,,Ian Birchall,John Kevlin,415 567 9000,CASE TRACKING,D6,Central SoMa; East SoMa (EN),South of Market,South of Market,MUO,MIXED USE-OFFICE,85-X,"{'latitude': '37.7814955756', 'longitude': '-122.399104912', 'needs_recoding': False}"
Mixres,APN 0522002A,2601 VAN NESS AV,,PL APPROVED,2014-05-13T00:00:00,-1,2013.1177,,,"Construct a 7 story, 26 unit building with 3 ground floor commercial and 2 levels subterranean garage with 35 spaces",,26,26,3,3,7100,7100,0,0,0,0,0,0,0,0,7100,7100,0,0,2013-08-28T00:00:00,GNELSON,L. F. Geo,L. F. Geo,415.665.5,manual,D2,Van Ness Corridor,Marina,Marina,RC-3,"RESIDENTIAL- COMMERCIAL, MEDIUM DENSITY",65-A,"{'latitude': '37.7996624907', 'longitude': '-122.424616674', 'needs_recoding': False}"
Resident,APN 4591C093,201 DONAHUE ST,,CONSTRUCTION,2015-02-11T00:00:00,-1,,200907223200,APARTMENTS,,"TO ERECT 3 STORIES, 25 RESIDENTIAL CONDOMINIUM UNITS. (VACANT LOT)",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-07-22T00:00:00,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",HP-RA,"{'latitude': '37.7283811843', 'longitude': '-122.370199599', 'needs_recoding': False}"
Resident,APN 3732071,468 CLEMENTINA ST,,CONSTRUCTION,2015-07-14T00:00:00,-1,2005.0424,200507208144,APARTMENTS,"New construction of two four-story residential buildings on Lot to be subdivided, with 13-unit building fronting Tehama and 12-unit building fronting Clementina (468 Clementina).  Existing building to be demolished.",TO ERECT 4 STORY 12 UNIT DWELLING,25,25,0,0,0,-500,0,0,0,0,0,0,0,-500,0,0,0,0,2006-01-05T00:00:00,RCOOPER,Tuija I. Catalano,Tuija I. Catalano,567-9000,CASE TRACKING,D6,Central SoMa; East SoMa (EN); South of Market,South of Market,South of Market,MUR,MIXED USE-RESIDENTIAL,45-X,"{'latitude': '37.7798867634', 'longitude': '-122.405696312', 'needs_recoding': False}"
Mixres,APN 0832025,300 Octavia Street,,PL FILED,2015-05-28T00:00:00,0,2014-002330PRJ,,,"The proposed project includes construction of two 5-story, approximately 55-foot-tall building with  a combined 24 residential units over ground floor commercial uses with bicycle parking.",,24,24,2,2,1606,1606,0,0,0,0,0,0,0,0,1606,1606,0,0,2015-02-25T00:00:00,CGROB,,City County of San Francisco Office,554-5395,CASE TRACKING,D5,Market and Octavia,Western Addition,Western Addition,NCT,HAYES NCT,,"{'latitude': '37.7750995504', 'longitude': '-122.424039969', 'needs_recoding': False}"
Mixres,APN 2623006,376 CASTRO ST,,BP FILED,2013-05-17T00:00:00,-1,2004.0976,201305177243,,"Demolition of a gas station and construction of a mixed-use building with 24 dwelling units, appx. 2,800 GSF of ground floor commercial use, and 24 off-street parking spaces.","TO ERECT 6-STORY, 24 UNITS W/ GARAGE, COMMERCIAL & PARKING BUILDING.",24,24,3,3,1900,1900,0,0,0,0,0,0,0,0,1900,1900,0,0,2005-11-10T00:00:00,RCRAWFOR,Bruce  Baumann,Bruce  Baumann,415 551-7884,CASE TRACKING,D8,,Buena Vista,Castro/Upper Market,NCD,UPPER MARKET STREET NEIGHBORHOOD COMMERCIAL,65-B,"{'latitude': '37.7629212526', 'longitude': '-122.435500091', 'needs_recoding': False}"
Mixres,APN 0194009,740 WASHINGTON ST,,PL FILED,2014-09-26T00:00:00,0,2014.0775,,,"Change of use from 3,317.5 sf residential use over 9,994.5 sf ground floor commercial to 24 units (11,612 sf) of group housing over 1,700 sf of ground floor restuarant use.",,24,23,18,18,1700,-8294,0,0,0,0,0,0,0,0,1700,-8294,0,0,2014-09-26T00:00:00,,Alice Barkley,Alice Barkley,415-356-4635,CASE TRACKING,D3,Chinatown,Northeast,Chinatown,CVR,CHINATOWN- VISITOR RETAIL,50-N,"{'latitude': '37.7954261468', 'longitude': '-122.405874538', 'needs_recoding': False}"
Resident,APN 3549064,1450 15TH ST,,BP ISSUED,2015-05-29T00:00:00,-1,2013.0124,201306280738,,"The proposed project would demolish an existing 6,088  sq. vacant industrial building on irregular ""L"" shaped parcel and  construct a new multi-family residential structure with 23 dwelling units. The project would also include 16 off-street parking spac","TO ERECT 5 STORIES, NO BASEMENT, 23 UNITS RESIDENTIAL & PARKING BUILDING.",23,23,3,3,0,-6088,0,0,0,0,0,0,0,-6088,0,0,0,0,2014-05-22T00:00:00,JPURVIS,Gabriel Ng,Gabriel Ng,415-563-6655,CASE TRACKING,D9,Mission (EN),Mission,Mission,UMU,URBAN MIXED USE,50-X,"{'latitude': '37.7670915644', 'longitude': '-122.416833421', 'needs_recoding': False}"
Resident,APN 3753096,233-237 SHIPLEY ST,,BP ISSUED,2015-03-16T00:00:00,-1,2013.0318,201401247066,APARTMENTS,,"TO ERECT 4 STORIES, NO BASEMENT, 22 UNITS MULTI FAMILY RESIDENTIAL BUIDLING.
** MAHER: COMPLIANCE WI",22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,EJACKSON,,,,PERMIT TRACKING,D6,Central SoMa; East SoMa (EN); South of Market,South of Market,South of Market,MUR,MIXED USE-RESIDENTIAL,45-X,"{'latitude': '37.7791316715', 'longitude': '-122.403448728', 'needs_recoding': False}"
Resident,APN 0512026,2353 - 2347 LOMBARD ST,,CONSTRUCTION,2015-07-10T00:00:00,-1,2009.1177,201401297354,APARTMENTS,,ERECT A 4 STORY RESIDENTIAL & COMMERCIAL BUILDING.,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SLAI,,,,PERMIT TRACKING,D2,,Marina,Marina,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,"{'latitude': '37.7990754072', 'longitude': '-122.439930039', 'needs_recoding': False}"
Resident,APN 4591C143,47 KIRKWOOD AV,,BP FILED,2015-01-14T00:00:00,0,,201501145720,APARTMENTS,,Multiple Permits,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D10,Hunters Point Shipyard,South Bayshore,Bayview,HP-RA,SEE HUNTERS POINT REDEVELOPMENT PLAN,HP-RA,"{'latitude': '37.7266916028', 'longitude': '-122.369495339', 'needs_recoding': False}"
Mixres,APN 0028014,1255- 1275 COLUMBUS AV,,BP ISSUED,2014-04-22T00:00:00,-1,2008.0723,201306149565,,"Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.","TO ERECT 4 STORIES, NO BASEMENT, 20 UNITS APARTMENTS WITH COMMERCIAL AND PARKING BUILDING.",20,20,0,0,6500,-9352,0,0,0,0,0,-15852,0,0,6500,6500,0,0,2009-07-29T00:00:00,CFORDHAM,Bruce Baumann,Bruce Baumann,415.551.7884,CASE TRACKING,D2,Fisherman's Wharf; Northeast Waterfront,Northeast,Russian Hill,C-2,COMMUNITY BUSINESS,40-X,"{'latitude': '37.8057080604', 'longitude': '-122.418379666', 'needs_recoding': False}"
Resident,APN 0645003,1335 LARKIN ST,,PL FILED,2014-07-23T00:00:00,0,2013.0491,201403100361,,Preserve facade of know Historic Resource and construct 5 stories of residential over parking behind Historic facade.,RESERVE EXTERIOR FACADE OF 1 STORY W/ MEZZANINE LEVEL COMMERCIAL GARAGE. NEW CONST WILL RESULT IN A,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-23T00:00:00,LLYNCH,Anthony Pantaleoni,Tony Pantaleoni,415-495-4051,CASE TRACKING,D3,,Northeast,Nob Hill,NCD,POLK STREET NEIGHBORHOOD COMMERCIAL,65-A,"{'latitude': '37.7903301156', 'longitude': '-122.419308363', 'needs_recoding': False}"
Resident,APN 3639001,2600 HARRISON ST,,PL FILED,2014-06-20T00:00:00,0,2014.0503,,,The project proposes a new residential building in place of the existing industrial warehouse building to be demolished.  The new building would be 40 feet tall with ground floor parking and 20 residential units.  A rood deck would be provided with acces,,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-20T00:00:00,EJARDINE,Toby Morris,Edward Morris,415-749-0302,CASE TRACKING,D9,Mission (EN),Mission,Mission,UMU,URBAN MIXED USE,40-X,"{'latitude': '37.7553782114', 'longitude': '-122.412406394', 'needs_recoding': False}"
